ID,SMILES,Gen,FuncGroup,Formula,SAScore,MolWt,LogP,LipinskiViolations,QEDViolations,GhoseViolations,VeberViolations,REOSViolations,RuleOf3Violations,HDonors,HAcceptors,RotBonds,NumAtoms,MolarRefractivity,TPSA,FormalCharge,NumHeavyAtoms,NumRings,PAINSFilter,BRENKFilter,BRENKMatches,MinBindingEnergy,AvgBindingEnergy,SynthSuccessProb,RetroSolved,RetroPrecursors,RetroSteps,image_path
1348603,O=C(Nc1ccnc(NC(=O)c2cccc(-c3nn[nH]n3)c2)c1)c1cccc(-c2nn[nH]n2)c1,8.0,,C21H15N11O2,2.6,453.1,1.9,0.0,2.0,0.0,1.0,0.0,4.0,4.0,9.0,6.0,34.0,119.4,180.0,0.0,34.0,5.0,True,True,,-9.2,-8.5,0.987,True,3.0,3.0,z_tmp/DSX_Strctures/1348603.png
1343414,O=C(Nc1cccc(Cn2nnnc2-c2cccc(-c3nn[nH]n3)c2)c1)c1cccc(-n2cnnn2)c1,5.0,,C23H17N13O,2.7,491.2,1.8,1.0,3.0,1.0,1.0,1.0,3.0,2.0,12.0,7.0,37.0,129.1,170.8,0.0,37.0,6.0,True,True,,-9.2,-8.7,0.987,True,3.0,3.0,z_tmp/DSX_Strctures/1343414.png
1344384,O=C(Cc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1)Nc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,6.0,,C28H21N9O,2.5,499.2,4.6,0.0,2.0,2.0,0.0,0.0,4.0,3.0,7.0,7.0,38.0,142.4,138.0,0.0,38.0,6.0,True,True,,-9.2,-8.7,0.975,True,3.0,4.0,z_tmp/DSX_Strctures/1344384.png
1344393,CC(C)c1ccc(C(=O)NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1Nc1cccc(-c2nn[nH]n2)c1,6.0,Amine,C26H25N11O2,2.8,523.2,3.6,1.0,2.0,2.0,1.0,1.0,5.0,5.0,9.0,8.0,39.0,142.7,179.2,0.0,39.0,5.0,True,True,,-9.2,-8.6,0.956,True,4.0,6.0,z_tmp/DSX_Strctures/1344393.png
1344358,Cc1ccc(C(=O)NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1NC(=O)c1cccc(-n2cnnn2)c1,6.0,,C25H21N11O3,2.6,523.2,2.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,10.0,7.0,39.0,137.6,185.4,0.0,39.0,5.0,True,True,,-9.2,-8.7,0.956,True,5.0,6.0,z_tmp/DSX_Strctures/1344358.png
1343726,Cc1ccc(NC(=O)COc2cccc(NC(=O)CNC(=O)c3ncoc3-c3cccc(C)c3)n2)cc1,5.0,,C27H25N5O5,2.5,499.2,3.7,0.0,2.0,2.0,0.0,1.0,4.0,3.0,7.0,9.0,37.0,137.2,135.4,0.0,37.0,4.0,True,True,,-9.2,-8.2,0.975,True,5.0,4.0,z_tmp/DSX_Strctures/1343726.png
1351516,O=C(Nc1cccc(-c2cccc(OC(=O)Nc3ccc(-c4cccc(-c5nn[nH]n5)c4)cc3)c2)c1)Nc1nn[nH]n1,10.0,,C28H21N11O3,2.7,559.2,5.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,9.0,7.0,42.0,153.4,188.4,0.0,42.0,6.0,True,True,,-9.2,-8.6,0.963,True,6.0,5.0,z_tmp/DSX_Strctures/1351516.png
1347125,Cc1ccc(C(=O)NC(=O)NC(=O)NCC(=O)N2CCN(C(=O)Nc3nn[nH]n3)CC2)cc1Nc1cccc(-c2nn[nH]n2)c1,7.0,Amine,C25H27N15O5,3.1,617.2,-0.0,3.0,4.0,3.0,1.0,3.0,4.0,7.0,12.0,7.0,45.0,154.8,260.9,0.0,45.0,5.0,True,True,,-9.2,-8.9,0.956,True,6.0,6.0,z_tmp/DSX_Strctures/1347125.png
1346903,O=C(Cc1nc(-c2cccc(-c3nn[nH]n3)c2)no1)Nc1cccc(-c2cccc(-c3nn[nH]n3)c2)c1,7.0,,C24H17N11O2,2.7,491.2,2.9,0.0,2.0,2.0,1.0,0.0,3.0,3.0,10.0,7.0,37.0,130.3,176.9,0.0,37.0,6.0,True,True,,-9.2,-9.0,0.975,True,3.0,4.0,z_tmp/DSX_Strctures/1346903.png
1346907,Cc1ccc(C(=O)Nc2cccc(-c3nn[nH]n3)c2)cc1Nc1cccc(-c2nn[nH]n2)c1,7.0,Amine,C22H18N10O,2.5,438.2,3.4,0.0,2.0,0.0,1.0,0.0,5.0,4.0,8.0,6.0,33.0,121.6,150.1,0.0,33.0,5.0,True,True,,-9.2,-8.4,0.987,True,3.0,3.0,z_tmp/DSX_Strctures/1346907.png
